index,hydroobject_CODE,endpoint_hydroobject_CODE
2259,1130880,1130890
2261,1130902,1130890
2263,1130440,1130423
2264,1130570,1130920
2266,1130571,1130920
2267,1130920,1130910
2270,2530560,2530540
2272,2530565,2530560
2274,2531790,2531785
2276,1054260,1053540
2277,1054255,1053540
2278,1053540,1053530
2280,2270530,2270510
2282,2270540,2270510
2284,2310020,2310010
2285,2240039,2310010
2287,2050835,2050830
2289,2041260,2041250
2291,1072400,1072395
2292,1072370,1072395
2294,1072760,1072810
2295,1072820,1072810
2296,1037010,1036401
2298,1037000,1036401
2299,1031530,1031440
2301,1031520,1031440
2303,1040755,1040710
2304,1040760,1040710
2305,1040680,1040710
2307,1046290,1049290
2309,2113180,2172300
2310,2113170,2172300
